sample_id,project,library_id,robot_id,library_type,archive_sample_id,core_id,depth_cm,age_raw,age_value,age_min,age_max,age_error,age_unit,site,geographic_location,latitude,longitude,shotgun_qc,capture1_qc,capture2_qc,shotgun_asian_input_reads,shotgun_asian_extract_reads,shotgun_asian_besthit_reads,shotgun_asian_mapped_reads,shotgun_asian_dedup_reads,shotgun_irgsp_input_reads,shotgun_irgsp_extract_reads,shotgun_irgsp_besthit_reads,shotgun_irgsp_mapped_reads,shotgun_irgsp_dedup_reads,capture1_asian_input_reads,capture1_asian_extract_reads,capture1_asian_besthit_reads,capture1_asian_mapped_reads,capture1_asian_dedup_reads,capture1_irgsp_input_reads,capture1_irgsp_extract_reads,capture1_irgsp_besthit_reads,capture1_irgsp_mapped_reads,capture1_irgsp_dedup_reads,capture2_asian_input_reads,capture2_asian_extract_reads,capture2_asian_besthit_reads,capture2_asian_mapped_reads,capture2_asian_dedup_reads,capture2_irgsp_input_reads,capture2_irgsp_extract_reads,capture2_irgsp_besthit_reads,capture2_irgsp_mapped_reads,capture2_irgsp_dedup_reads,count_note,shotgun_oldnew_route_status,capture1_duplicate_status,capture1_duplicate_candidate_a_counts,capture1_duplicate_candidate_b_counts,capture2_duplicate_status,capture2_duplicate_candidate_a_counts,capture2_duplicate_candidate_b_counts,count_sources,coordinate_status,coordinate_source,coordinate_note
LV7001902859,angkor,LV7001902859,LV7005225810,ds,LV3005273227,CAM22-08,41,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,12624,6320,5835,5791,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7001902952,angkor,LV7001902952,LV7005225786,ds,LV3005573877,CAM2201,73,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,298,83,78,77,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001903276,angkor,LV7001903276,LV7005225830,ds,LV3005573870,CAM2201,70,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,107,19,15,14,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001903292,angkor,LV7001903292,LV7005225823,ds,LV3005573876,CAM2201,67,,,,,,,"West Baray, Angkor","West Baray, Angkor; Cambodia",13.427556,103.766056,Qualified; historical collapsed available; extract count available,,,,,,,,,250,112,105,105,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2201; independently reproduced in angkor_final_metadata.tsv
LV7001903371,angkor,LV7001903371,LV7005225820,ds,LV3005273248,CAM22-08,47.5,,,,,,,"Angkor Thom Temple Moat, Angkor","Angkor Thom Temple Moat, Angkor; Cambodia",13.42725,103.844722,Qualified; historical collapsed available; extract count available,,,,,,,,,16737,8416,7803,7747,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM22-08; independently reproduced in angkor_final_metadata.tsv
LV7008877310,angkor,LV7008877310,LV6000654711,ds,LV3006121031,CAM2509,76.55,1230 CE (model year),1230,1230,1230,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; historical collapsed available; extract count available,,,,,,,,,140,34,30,30,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008877323,angkor,LV7008877323,LV6000619493,ds,LV3006121019,CAM2509,87.45,1051 CE (model year),1051,1051,1051,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Low Risk; historical collapsed available; extract count available,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,,,,,,,,sample_reads_wide.tsv (v1),reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879189,angkor,LV7008879189,LV6000654719,ds,LV3006121024,CAM2509,76.85,1228 CE (model year),1228,1228,1228,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,capture input registered; extract count available,capture input registered; extract count available,,13654,1023,340,337,,132,21,19,19,,548,39,12,11,,,,,,,1521,109,27,23,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879190,angkor,LV7008879190,LV6000654702,ds,LV3006121051,CAM2509,74.15,1244 CE (model year),1244,1244,1244,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,,,,15716,1568,367,367,,186,56,53,53,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879191,angkor,LV7008879191,LV6000654685,ds,LV3006121058,CAM2509,71.1,1258 CE (model year),1258,1258,1258,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,,,,17995,1882,417,416,,255,85,78,78,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879192,angkor,LV7008879192,LV6000654715,ds,LV3006121054,CAM2509,68.55,1264 CE (model year),1264,1264,1264,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,,,,16438,1692,425,419,,236,81,75,75,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879193,angkor,LV7008879193,LV6000654698,ds,LV3006121074,CAM2509,64.75,1281 CE (model year),1281,1281,1281,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,capture input registered; extract count available,capture input registered; extract count available,,16200,1228,397,396,,172,23,19,19,,2168,,,,,,,,,,14336,,,,,,,,,现有路线计数填入 extract；capture 重名输出未定 canonical：主计数字段留空，候选值见审计列,paired: old IRGSP route + new Asian route; kept separate,unresolved: two non-identical outputs; not summed,besthit=144; mapped=2; dedup=2,besthit=137; mapped=2; dedup=2,unresolved: two non-identical outputs; not summed,besthit=1076; mapped=342; dedup=297,besthit=1084; mapped=336; dedup=293,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; capture_duplicate_pairs_fullpath.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879194,angkor,LV7008879194,LV6000654681,ds,LV3006121091,CAM2509,61.3,1301 CE (model year),1301,1301,1301,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,,,,15460,1210,388,384,,173,34,30,30,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
LV7008879195,angkor,LV7008879195,LV6000619919,ds,LV3006121071,CAM2509,59.1,1313 CE (model year),1313,1313,1313,,CE,"Northern Temple Pond, Angkor Wat","Northern Temple Pond, Angkor Wat; Cambodia",13.41298,103.864648,Qualified; QC519 collapsed available; historical collapsed available; extract count available,,,,18368,1455,489,479,,198,34,28,28,,,,,,,,,,,,,,,,,,,,,现有路线计数填入 extract,paired: old IRGSP route + new Asian route; kept separate,,,,,,,sample_reads_wide.tsv (v1); pipeline_reads_extract_besthit.tsv; irgsp_dedup_bam_reads.tsv; shotgun_oldnew_pairs_fullpath.tsv,reported_in_cam_metadata,"sample_meta_data_20250922.tsv: field_sample_id@field_sample, latitude, longitude",Exact coordinate reported for Angkor core CAM2509; independently reproduced in angkor_final_metadata.tsv
